Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2021-02-02,"6,946.605",0.007941235,,,
2021-02-03,"6,985.092",0.005540404,,,
2021-02-04,"6,978.132",-0.000996408,,,
2021-02-05,"7,031.107",0.007591573,,,
2021-02-08,"7,096.560",0.00930906,,,
2021-02-09,"7,124.131",0.003885122,,,
2021-02-10,"7,138.075",0.001957291,,,
2021-02-11,"7,157.800",0.00276335,,,
2021-02-12,"7,178.083",0.002833692,,,
2021-02-15,"7,265.077",0.012119392,,,
2021-02-16,"7,273.686",0.001184984,,,
2021-02-17,"7,198.690",-0.010310591,,,
2021-02-18,"7,163.671",-0.004864635,,,
2021-02-19,"7,197.609",0.004737515,,,
2021-02-22,"7,201.495",0.000539902,,,
2021-02-23,"7,203.694",0.000305353,,,
2021-02-24,"7,150.983",-0.007317218,,,
2021-02-25,"7,204.743",0.007517848,,,
2021-02-26,"6,996.247",-0.028938714,,,
2021-03-01,"7,093.152",0.013850998,,,
2021-03-02,"7,095.344",0.00030903,,,
2021-03-03,"7,115.567",0.002850179,,,
2021-03-04,"7,058.849",-0.007970974,,,
2021-03-05,"6,962.299",-0.013677867,,,
2021-03-08,"7,018.193",0.008028095,,,
2021-03-09,"7,091.439",0.01043659,,,
2021-03-10,"7,115.747",0.003427795,,,
2021-03-11,"7,174.505",0.008257461,,,
